## Muestra el numero de rayos que golpean cada bin
0.406106	0.43318	1.32661	2.40956	4.76498	6.36233	10.4505	16.163	23.4459	31.0536	44.2114	54.5265	70.0398	84.2535	99.3065	112.735	126.299	135.098	144.547	148.527	148.039	142.625	138.591	129.792	117.987	101.662	87.367	72.0433	56.6924	48.7328	33.3007	25.314	17.1648	11.5063	8.41994	5.00864	2.73445	1.92224	1.0288	0.297811	
0.270738	0.730991	1.59735	2.65323	4.98157	7.17454	12.2644	18.7892	24.7725	36.3059	48.083	60.564	77.7287	92.9983	112.843	128.384	140.486	149.149	156.324	161.468	165.231	157.894	149.285	138.157	125.108	110.813	98.6026	79.4073	64.7604	48.6245	37.1993	27.6423	20.1158	13.5098	9.58411	5.4689	3.49251	1.75979	1.05588	0.43318	
0.64977	0.947581	1.38076	2.95104	4.98157	8.6636	13.7805	19.6555	29.1584	39.6901	52.0087	66.7909	84.3077	102.285	118.15	136.073	149.962	161.116	168.182	175.979	174.815	169.509	156.811	150.638	132.986	116.173	101.662	85.9321	70.6083	54.7161	41.856	32.8134	21.4695	15.2154	10.2339	6.28111	3.43837	2.38249	1.05588	0.541475	
0.568549	0.920508	2.03053	3.54666	5.65841	9.39459	15.1342	20.6031	29.4562	39.6089	53.6602	72.8013	88.829	108.485	122.861	141.487	160.141	166.016	179.445	179.634	184.697	182.206	169.861	157.569	143.707	127.22	109.216	94.5145	73.4511	57.8837	45.2673	31.5138	24.0956	15.8652	10.7754	6.98503	3.84447	2.51786	1.19125	0.324885	
0.487328	1.08295	1.81394	3.92569	6.03745	9.71948	16.515	22.5795	31.8929	45.511	58.5064	75.5358	94.4333	110.244	131.497	149.989	164.148	175.952	185.157	185.564	190.437	185.239	176.494	164.094	146.821	131.957	112.031	95.5433	76.5646	59.1291	46.8647	33.9234	22.6337	16.1089	10.8566	7.06625	3.95277	2.11175	1.38076	0.622696	
0.64977	1.08295	2.19297	3.51959	6.90381	10.3151	16.2984	24.1498	33.4632	44.5905	59.3457	78.4327	97.3572	116.228	132.093	150.07	168.263	177.198	191.384	192.467	192.251	189.679	175.709	164.148	148.527	129.44	115.47	95.9765	78.2973	60.6994	45.5651	35.981	24.583	16.515	11.1002	7.09332	4.00692	2.62615	1.24539	0.487328	
0.595623	1.19125	2.32834	4.16936	6.30818	11.2356	16.0006	22.7961	33.1383	45.1049	62.8111	78.4056	93.973	115.334	136.885	152.479	167.018	179.337	187.08	191.872	189.11	187.486	181.232	167.18	149.907	138.022	112.979	97.5197	79.7593	60.4557	47.5144	33.2466	23.4459	16.5962	9.88192	6.55185	3.22178	2.49079	1.21832	0.595623	
0.568549	1.00173	1.97638	4.57546	6.11867	10.7483	16.7045	24.0415	34.0046	44.1573	61.4303	78.4056	96.4909	111.95	131.66	150.936	165.989	176.9	184.616	189.408	188.812	182.721	174.165	162.93	148.527	128.113	114.549	90.8595	77.2414	59.6435	45.6734	32.3531	22.5254	16.2172	9.20508	6.68722	4.16936	2.43664	0.785139	0.676844	
0.64977	1.51613	2.59908	4.41302	6.95795	10.4234	15.2425	22.9585	32.1636	42.6682	56.53	75.3733	89.7495	109.27	125.433	141.569	162.524	170.944	179.364	188.136	177.793	180.717	170.402	156.622	143.464	123.321	105.479	89.7766	70.5813	57.3693	42.8036	30.837	21.3883	15.8381	9.99021	6.11867	3.303	1.81394	1.27247	0.487328	
0.730991	0.920508	1.97638	4.00692	5.71256	10.5588	15.4591	21.7402	31.8387	41.9914	55.5553	73.045	88.5853	102.853	116.661	140.08	153.292	161.955	172.108	174.301	170.375	169.428	159.871	152.236	132.959	122.482	100.796	84.3077	67.3866	55.3658	40.367	27.7235	20.3053	13.1308	10.0444	4.9545	2.73445	1.21832	1.0288	0.460254	
